TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL,RET,LOG_RET,RV_20,FUTURE_RV_5
2025-12-17,62.32,65.0,59.59,60.84,120994552.0,7477230408.0,597449078.0,0.2025186019284475,300456.SZ,sz300456,-0.05527950310559,-0.0568661657192158,0.0910768314393524,0.0438021999984399
2025-12-18,59.11,65.9,59.11,65.68,112069408.0,7170110788.0,597449078.0,0.1875798492737819,300456.SZ,sz300456,0.0795529257067719,0.0765469977530807,0.0926037368951836,0.0308082268461643
2025-12-19,67.0,67.77,62.04,63.39,102405738.0,6549793190.0,597449078.0,0.1714049644913838,300456.SZ,sz300456,-0.0348660170523752,-0.0354883448480978,0.0895230837955264,0.0297025505948864
2025-12-22,63.08,64.5,59.8,60.45,96180875.0,5911401179.0,597449078.0,0.1609858957720242,300456.SZ,sz300456,-0.0463795551348792,-0.0474895432352732,0.0895297086095757,0.0223801828784125
2025-12-23,59.99,63.87,56.77,61.3,113836696.0,6890342233.0,597449078.0,0.1905379055585386,300456.SZ,sz300456,0.0140612076095945,0.0139632658813638,0.0893229060971625,0.0494428570966228
2025-12-24,61.5,63.68,60.28,61.0,80648196.0,4966325024.0,597449078.0,0.1349875645803574,300456.SZ,sz300456,-0.0048939641109297,-0.0049059787688544,0.0827253940511154,0.0681260445474033
2025-12-25,62.0,62.67,59.0,59.09,84995432.0,5118653143.0,597449078.0,0.142263893492861,300456.SZ,sz300456,-0.031311475409836,-0.0318121588157279,0.0767803707484392,0.070662079628412
2025-12-26,58.3,59.88,56.07,57.32,92868113.0,5365107215.0,597449078.0,0.155441051663988,300456.SZ,sz300456,-0.0299543069893383,-0.0304121023976121,0.0770808082230201,0.0693440967502462
2025-12-29,56.88,58.79,55.8,56.26,68581690.0,3903824620.0,597449078.0,0.114790854192263,300456.SZ,sz300456,-0.0184926727145848,-0.0186657998982604,0.0765653529886845,0.070183426735581
2025-12-30,56.0,62.49,55.35,62.15,120399963.0,7146340295.0,597449078.0,0.2015233890778554,300456.SZ,sz300456,0.1046924991112692,0.0995670148950094,0.0731320782898874,0.0569149507386769
2025-12-31,59.88,60.57,55.8,55.96,114824571.0,6620112443.0,597448928.0,0.192191442010588,300456.SZ,sz300456,-0.0995977473853579,-0.1049136681594396,0.0594085454008763,0.0323602849420748
2026-01-05,53.87,54.48,50.26,53.09,85952732.0,4539802110.0,597448928.0,0.1438662419024375,300456.SZ,sz300456,-0.0512866333095067,-0.0526485632017003,0.0605520156398076,0.0320644632139595
2026-01-06,53.0,54.97,52.8,53.17,63173030.0,3384022846.0,597448928.0,0.1057379585757663,300456.SZ,sz300456,0.0015068751177245,0.0015057409206668,0.0601769880837452,0.0432935397709831
2026-01-07,53.0,55.25,51.25,54.82,85771675.0,4596889465.0,597448928.0,0.143563191731093,300456.SZ,sz300456,0.0310325371450066,0.0305607633583926,0.0555855423168575,0.0469411861903606
2026-01-08,54.0,54.59,52.66,52.75,65324669.0,3497795219.0,597448928.0,0.1093393358637008,300456.SZ,sz300456,-0.0377599416271433,-0.0384913185184638,0.0559222444165672,0.0438000609421833
2026-01-09,52.0,54.87,51.03,53.11,74929334.0,3945604782.0,597448928.0,0.1254154631272516,300456.SZ,sz300456,0.006824644549763,0.0068014620781319,0.053961875558279,0.0446994844743131
2026-01-12,52.11,56.37,52.01,55.93,87041671.0,4746257642.0,597448928.0,0.1456888897455683,300456.SZ,sz300456,0.0530973451327434,0.0517356743991888,0.0539435736238159,0.0603525934766222
2026-01-13,55.94,60.95,54.34,59.69,105218538.0,6198893343.0,597448928.0,0.1761130250115705,300456.SZ,sz300456,0.0672268907563025,0.0650635933470618,0.0502682515558655,0.0533215705833209
2026-01-14,60.9,64.55,58.18,62.8,114942808.0,6998760774.0,597448928.0,0.1923893451190526,300456.SZ,sz300456,0.0521025297369743,0.0507905712935945,0.0504731600728864,0.0494474551360463
2026-01-15,60.92,65.58,60.44,62.33,78578863.0,4985882326.0,597448928.0,0.1315239835864263,300456.SZ,sz300456,-0.0074840764331209,-0.0075122226533937,0.0504056649442559,0.0507929712400552
2026-01-16,63.5,64.15,60.5,61.03,72116593.0,4479675810.0,597448928.0,0.1207075443944892,300456.SZ,sz300456,-0.0208567303064334,-0.0210773042643555,0.0490026086657122,0.0513163234288381
2026-01-19,59.75,60.0,54.92,54.98,92945884.0,5270137380.0,597448928.0,0.155571262486222,300456.SZ,sz300456,-0.0991315746354253,-0.104396063819304,0.051509323620512,0.0315241200952398
2026-01-20,55.02,55.88,53.35,54.14,56481008.0,3084441054.0,597448928.0,0.0945369643378119,300456.SZ,sz300456,-0.0152782830120042,-0.0153961985509444,0.0510106992240919,0.0318917587599766
2026-01-21,53.74,56.2,53.5,55.47,49317919.0,2726993415.0,597448928.0,0.0825475060522662,300456.SZ,sz300456,0.0245659401551532,0.0242690498809879,0.0501874280931222,0.0325565936598062
2026-01-22,56.12,58.58,54.68,56.99,68447340.0,3871808534.0,597448928.0,0.1145660102347694,300456.SZ,sz300456,0.0274021993870561,0.027033479779765,0.0504536396144895,0.0327507720867574
2026-01-23,56.11,56.5,54.54,55.49,62690778.0,3467311898.0,597448928.0,0.1049307732626813,300456.SZ,sz300456,-0.0263204070889629,-0.0266729895090983,0.0507930973404102,0.0332701890840433
2026-01-26,55.48,55.66,52.25,52.68,55915092.0,2990100672.0,597448928.0,0.0935897436240776,300456.SZ,sz300456,-0.0506397549107947,-0.0519669474627296,0.0516174994206057,0.0241924999747931
2026-01-27,52.06,54.24,52.06,53.68,42977624.0,2295290778.0,597448928.0,0.0719352265705295,300456.SZ,sz300456,0.0189825360668185,0.018804615788346,0.051340063562207,0.0404165125005864
2026-01-28,52.4,53.45,50.9,52.18,60615861.0,3148703366.0,597448928.0,0.1014578119721724,300456.SZ,sz300456,-0.0279433681073025,-0.028341212954844,0.0515610583664353,0.0386144896870532
2026-01-29,51.46,52.8,50.5,50.73,45046771.0,2319256553.0,597448928.0,0.0753985301317671,300456.SZ,sz300456,-0.0277884246837869,-0.0281818281299838,0.0469315883915002,0.0464090169696032
2026-01-30,50.29,53.0,49.89,52.26,54395352.0,2800869203.0,597448928.0,0.0910460282891326,300456.SZ,sz300456,0.0301596688350089,0.0297138085138679,0.0411870807588458,0.0466255304108767
2026-02-02,51.02,54.0,51.0,51.76,42641760.0,2243033775.0,597448928.0,0.0713730630377832,300456.SZ,sz300456,-0.0095675468809797,-0.0096136098998213,0.0395272454876483,0.0570758416439146
2026-02-03,52.65,56.0,52.48,55.78,88841809.0,4824046437.0,597448928.0,0.1487019305522965,300456.SZ,sz300456,0.0776661514683154,0.0747977320066979,0.0429188164879007,0.046363441053821
2026-02-04,54.4,55.5,52.41,55.25,66357050.0,3578890344.0,597448928.0,0.1110673178745748,300456.SZ,sz300456,-0.0095016134815346,-0.0095470418014807,0.0424250409101473,0.0486285395375215
2026-02-05,54.0,55.29,51.75,51.82,54837790.0,2895375517.0,597448928.0,0.0917865735964631,300456.SZ,sz300456,-0.0620814479638008,-0.0640921652638982,0.0439453672026292,0.0422694204737456
2026-02-06,50.8,51.91,50.12,50.22,39029321.0,1988391944.0,597448928.0,0.0653266231988284,300456.SZ,sz300456,-0.0308761096101891,-0.031362821404525,0.0444754272894203,0.0455926248896061
2026-02-09,51.59,56.3,51.2,54.09,88980580.0,4817774260.0,597448928.0,0.1489342031257272,300456.SZ,sz300456,0.0770609318996415,0.0742359721538966,0.04604110783182,0.0363482757183989
