TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-12-19,214.03,-2.18,-286704544.0,-3.62,-88422400.0,-1.12,-198282144.0,-2.51,49948832.0,0.63,236755696.0,2.99,300394.SZ
2025-12-22,223.0,4.19,934245824.0,7.36,597308992.0,4.7,336936832.0,2.65,-178800080.0,-1.41,-755445760.0,-5.95,300394.SZ
2025-12-23,222.28,-0.32,-513730640.0,-6.56,-515601280.0,-6.58,1870640.0,0.02,253802000.0,3.24,259928640.0,3.32,300394.SZ
2025-12-24,223.07,0.36,-396153936.0,-4.37,-611252384.0,-6.75,215098448.0,2.37,86278176.0,0.95,309875760.0,3.42,300394.SZ
2025-12-25,214.8,-3.71,-850892640.0,-10.04,-939366752.0,-11.08,88474112.0,1.04,389656864.0,4.6,461235760.0,5.44,300394.SZ
2025-12-26,213.31,-0.69,-476546496.0,-9.87,-319983536.0,-6.63,-156562960.0,-3.24,150671760.0,3.12,325874736.0,6.75,300394.SZ
2025-12-29,212.77,-0.25,-497487184.0,-8.96,-267058512.0,-4.81,-230428672.0,-4.15,110778112.0,2.0,386709056.0,6.97,300394.SZ
2025-12-30,212.47,-0.14,355173712.0,5.74,273787344.0,4.42,81386368.0,1.31,-145973568.0,-2.36,-209200144.0,-3.38,300394.SZ
2025-12-31,203.03,-4.44,-1564223488.0,-22.84,-992967312.0,-14.5,-571256176.0,-8.34,523844400.0,7.65,1040379088.0,15.19,300394.SZ
2026-01-05,203.6,0.28,-515810080.0,-8.5,-89405728.0,-1.47,-426404352.0,-7.03,212272832.0,3.5,303537232.0,5.0,300394.SZ
2026-01-06,201.76,-0.9,-800538560.0,-12.86,-446140672.0,-7.17,-354397888.0,-5.69,205361936.0,3.3,595176640.0,9.56,300394.SZ
2026-01-07,202.18,0.21,38711376.0,0.63,37399824.0,0.61,1311552.0,0.02,72845392.0,1.19,-111556768.0,-1.82,300394.SZ
2026-01-08,195.25,-3.43,-1129935088.0,-20.07,-637710720.0,-11.33,-492224368.0,-8.74,231015968.0,4.1,898919120.0,15.96,300394.SZ
2026-01-09,199.0,1.92,335253248.0,4.96,423997664.0,6.28,-88744416.0,-1.31,-149118448.0,-2.21,-186134800.0,-2.76,300394.SZ
2026-01-12,202.41,1.71,176001648.0,2.24,-6481280.0,-0.08,182482928.0,2.33,-15216512.0,-0.19,-160785152.0,-2.05,300394.SZ
2026-01-13,190.0,-6.13,-670970944.0,-7.56,-736327360.0,-8.29,65356416.0,0.74,345238272.0,3.89,325732656.0,3.67,300394.SZ
2026-01-14,191.5,0.79,21257360.0,0.33,101903488.0,1.57,-80646128.0,-1.24,-17222144.0,-0.27,-4035200.0,-0.06,300394.SZ
2026-01-15,193.68,1.14,-35983760.0,-0.5,54714800.0,0.76,-90698560.0,-1.26,-61136496.0,-0.85,97120272.0,1.34,300394.SZ
2026-01-16,198.0,2.23,721819760.0,7.91,676353792.0,7.41,45465968.0,0.5,-289515456.0,-3.17,-432304288.0,-4.73,300394.SZ
2026-01-19,193.22,-2.41,-567543424.0,-9.86,-449490944.0,-7.81,-118052480.0,-2.05,258807440.0,4.5,308735984.0,5.36,300394.SZ
2026-01-20,184.6,-4.46,-957660192.0,-17.28,-667053936.0,-12.03,-290606256.0,-5.24,170495728.0,3.08,787164480.0,14.2,300394.SZ
2026-01-21,188.73,2.24,228988208.0,4.85,206471360.0,4.37,22516848.0,0.48,-172596528.0,-3.66,-56391664.0,-1.19,300394.SZ
2026-01-22,199.98,5.96,1335181152.0,13.33,940659632.0,9.39,394521520.0,3.94,-593032480.0,-5.92,-742148704.0,-7.41,300394.SZ
2026-01-23,189.16,-5.41,-776381568.0,-9.95,-594818864.0,-7.62,-181562704.0,-2.33,243377120.0,3.12,533004448.0,6.83,300394.SZ
