TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-11-12,68.27,0.84,345745056.0,3.72,220792992.0,2.38,124952064.0,1.35,-235161312.0,-2.53,-110583744.0,-1.19,601138.SH
2025-11-13,67.66,-0.89,-52279392.0,-0.64,63218800.0,0.77,-115498192.0,-1.41,-232530416.0,-2.84,284809792.0,3.47,601138.SH
2025-11-14,63.94,-5.5,-1936468800.0,-19.18,-1221557792.0,-12.1,-714911008.0,-7.08,408223344.0,4.04,1528245456.0,15.14,601138.SH
2025-11-17,64.61,1.05,7599216.0,0.1,4402448.0,0.06,3196768.0,0.04,-112930432.0,-1.49,105331216.0,1.39,601138.SH
2025-11-18,64.39,-0.34,-273234304.0,-3.66,-62261280.0,-0.83,-210973024.0,-2.83,43555712.0,0.58,229678576.0,3.08,601138.SH
2025-11-19,64.73,0.53,96014832.0,1.01,332212704.0,3.48,-236197872.0,-2.48,-120451872.0,-1.26,24437056.0,0.26,601138.SH
2025-11-20,65.61,1.36,-260054032.0,-2.76,-229453312.0,-2.43,-30600720.0,-0.32,71066256.0,0.75,188987776.0,2.0,601138.SH
2025-11-21,60.34,-8.03,-2063886320.0,-17.63,-1558865024.0,-13.31,-505021296.0,-4.31,634522432.0,5.42,1429363888.0,12.21,601138.SH
2025-11-24,55.61,-7.84,-2742785888.0,-14.65,-1847029088.0,-9.86,-895756800.0,-4.78,602146048.0,3.22,2140639616.0,11.43,601138.SH
2025-11-25,56.28,1.2,-866565056.0,-6.71,-738708128.0,-5.72,-127856928.0,-0.99,165506640.0,1.28,701058416.0,5.43,601138.SH
2025-11-26,58.6,4.12,521322064.0,3.19,915800336.0,5.6,-394478272.0,-2.41,-265991168.0,-1.63,-255330864.0,-1.56,601138.SH
2025-11-27,59.94,2.29,149596160.0,0.88,157484800.0,0.92,-7888640.0,-0.05,-276821968.0,-1.63,127225632.0,0.75,601138.SH
2025-11-28,60.39,0.75,109635056.0,1.1,439223232.0,4.39,-329588176.0,-3.29,-474106544.0,-4.74,364471488.0,3.64,601138.SH
2025-12-01,59.48,-1.51,-1258165792.0,-11.73,-856082944.0,-7.98,-402082848.0,-3.75,174682160.0,1.63,1083483616.0,10.1,601138.SH
2025-12-02,60.63,1.93,1114314944.0,8.71,758821024.0,5.93,355493920.0,2.78,-221921120.0,-1.73,-892393808.0,-6.97,601138.SH
2025-12-03,61.35,1.19,514710048.0,4.45,700821440.0,6.06,-186111392.0,-1.61,-210243504.0,-1.82,-304466544.0,-2.63,601138.SH
2025-12-04,61.07,-0.46,-215459376.0,-2.24,40985056.0,0.43,-256444432.0,-2.66,47229872.0,0.49,168229504.0,1.75,601138.SH
2025-12-05,60.79,-0.46,-311690992.0,-3.9,-119284928.0,-1.49,-192406064.0,-2.41,9126128.0,0.11,302564896.0,3.79,601138.SH
2025-12-08,63.08,3.77,588729744.0,3.89,841749216.0,5.57,-253019472.0,-1.67,-160570624.0,-1.06,-428159216.0,-2.83,601138.SH
2025-12-09,67.66,7.26,992965136.0,5.08,1154734864.0,5.9,-161769728.0,-0.83,-533789440.0,-2.73,-459175600.0,-2.35,601138.SH
2025-12-10,64.88,-4.11,-1974193920.0,-13.86,-1431743456.0,-10.05,-542450464.0,-3.81,759719840.0,5.33,1214474096.0,8.53,601138.SH
2025-12-11,61.97,-4.49,-2611854560.0,-21.51,-1973773520.0,-16.26,-638081040.0,-5.26,507971968.0,4.18,2103882592.0,17.33,601138.SH
2025-12-12,61.42,-0.89,-711369120.0,-6.91,-447263024.0,-4.34,-264106096.0,-2.56,150353872.0,1.46,561015248.0,5.45,601138.SH
2025-12-15,58.81,-4.25,-982368944.0,-11.97,-627989504.0,-7.65,-354379440.0,-4.32,21394688.0,0.26,960974272.0,11.71,601138.SH
2025-12-16,58.62,-0.32,-354481584.0,-4.62,-150999056.0,-1.97,-203482528.0,-2.65,10391904.0,0.14,344089648.0,4.48,601138.SH
2025-12-17,61.17,4.35,723050768.0,7.38,662994352.0,6.77,60056416.0,0.61,-196557088.0,-2.01,-526493664.0,-5.37,601138.SH
